Rank,Name,Pos,Team,Region,Seed,Games,Points,Rebs,Asts,Stls,Turns,Blocks,Per Gm Prj,Prj Scr,ADP,Sal
727,Silas Sunday,F,IONA,West,13,26,1.42,1.58,0.15,0.08,0.27,0.15,1.42,1.42,1000,0
728,Adam Comer,F,COFC,South,12,11,1.09,0.45,0,0.09,0.09,0,1.09,1.42,1000,0
729,Cam Amboree,G,ORAL,East,12,14,1.14,0.79,0.5,0.36,0.79,0,1.14,1.49,1000,0
730,Shaqir O'Neal,F,TXSO,East,16,20,1.35,0.9,0.65,0.15,0.55,0.15,1.35,1.35,1000,0
731,Favour Aire,C,MIA,Midwest,5,14,0.64,0.57,0,0.14,0.14,0.14,0.64,1.09,1000,0
732,Ayodele Taiwo,F,HOW,West,16,9,1.33,1.33,0.11,0,0.78,0.44,1.33,1.33,1000,0
733,Konrad Kiszka,G,PRIN,South,15,14,1.43,1,0.29,0.14,0.29,0,1.43,1.43,1000,0
734,Matja Belic,G,UC-SB,South,14,22,1.41,0.77,0.27,0.14,0.36,0.05,1.41,1.41,1000,0
735,Jameel Brown,G,PSU,Midwest,10,12,1,1.17,0.25,0.17,0.17,0.08,1,1.4,1000,0
736,Sami Osmani,G,CREI,South,6,11,0.82,0.73,0.36,0,0,0,0.82,1.39,1000,0
737,Evans Kipruto,F,UC-SB,South,14,18,1.28,0.83,0.11,0,0.22,0.28,1.28,1.28,1000,0
738,Burke Smith,F,BSU,West,10,10,0.9,1.1,0.1,0.1,0,0,0.9,1.26,1000,0
739,Grant Weitman,G,ARIZ,South,2,6,0.33,0.33,0,0,0.17,0,0.33,1.33,1000,0
740,Carter Kingsbury,G,IOWA,Midwest,8,8,0.88,0.75,0.5,0.13,0.13,0,0.88,1.31,1000,0
741,Kaleb Brown,G,MIZZ,South,7,11,0.82,0.36,0.45,0.55,0.73,0.09,0.82,1.31,1000,0
742,Tevin Gowins,G,SE-MO,South,16,17,1.29,0.82,0.24,0.29,0.65,0,1.29,1.29,1000,0
743,Akeem Odusipe,F,KENT-ST,Midwest,13,12,1.17,0.83,0,0.17,0.33,0.08,1.17,1.17,1000,0
744,Enoch Boakye,C,ASU,West,11,18,0.72,0.72,0.11,0.06,0.22,0.22,0.72,0.94,1000,0
745,Thomas Weaver,G,HOW,West,16,25,1.24,0.4,0.36,0.2,0.6,0,1.24,1.24,1000,0
746,Brenen Lorient,F,FLA-ATL,East,9,21,0.76,0.48,0.1,0.14,0.24,0.24,0.76,1.14,1000,0
747,Kale Catchings,F,DUKE,East,5,9,0.67,0.89,0.22,0.11,0.11,0.11,0.67,1.13,1000,0
748,Pier-Olivier Racine,F,FDU,East,16,8,1.13,0.88,0.5,0.25,0.38,0.13,1.13,1.13,1000,0
749,Daniel Rodriguez,F,FDU,East,16,9,1.11,0.33,0.22,0.33,0.44,0,1.11,1.11,1000,0
750,Szymon Zapala,C,UTAH-ST,South,10,11,0.64,0.55,0.09,0.09,0.27,0.18,0.64,0.89,1000,0
751,Charles Lampten,F,COFC,South,12,31,0.84,2,0.1,0.19,0.58,0.55,0.84,1.09,1000,0
752,Derrian Ford,G,ARK,West,8,18,0.78,0.5,0.39,0.06,0.22,0,0.78,1.17,1000,0
753,Jaden Quinerly,G,ALA,South,1,13,0.23,0.31,0.23,0.23,0.15,0,0.23,1.15,1000,0
754,Nate Awbrey,G,KSU,East,3,8,0.38,0,0.13,0,0.25,0,0.38,1.13,1000,0
755,Justin Rumph,G,MISS-ST,Midwest,11,7,0.86,0.14,0,0,0,0,0.86,1.11,1000,0
756,Chris Howell,G,SMC,West,5,26,0.65,0.42,0.12,0.23,0.27,0.08,0.65,1.11,1000,0
757,Gavin Perryman,G,TX,Midwest,2,11,0.27,0.45,0.18,0.27,0.18,0,0.27,1.09,1000,0
758,Vernon Collins,F,PRIN,South,15,6,1,1.5,0.5,0,0,0,1,1,1000,0
759,Isaiah Carr,F,GCU,West,14,8,1,2,0.13,0.38,0.38,1,1,1,1000,0
760,Brady Cummins,G,COLG,Midwest,15,14,1.07,0.36,0.07,0.14,0.14,0,1.07,1.07,1000,0
761,Parker Weiss,G,IONA,West,13,29,1.07,0.45,0.21,0.31,0.17,0.03,1.07,1.07,1000,0
762,Ben Sternberg,G,MIZZ,South,7,9,0.67,0.11,0.11,0,0.11,0,0.67,1.07,1000,0
763,Evan Young,G,CREI,South,6,8,0.63,0,0.25,0,0,0,0.63,1.06,1000,0
764,Yves Nkomba,C,KENN,Midwest,14,9,0.78,0.67,0.11,0.11,0.22,0.33,0.78,0.78,1000,0
765,Jonah Lucas,G,MARQ,East,2,8,0.25,0.5,0.13,0,0,0,0.25,1,1000,0
766,Bryceson Burns,G,DRAKE,Midwest,12,13,0.77,0.23,0.23,0.08,0.23,0.15,0.77,1,1000,0
767,Jake Shannon,G,ORAL,East,12,14,0.71,1,0.14,0.14,0,0.07,0.71,0.93,1000,0
768,Apostolos Roumoglou,G,CONN,West,4,14,0.29,0.36,0.07,0.07,0.14,0,0.29,0.86,1000,0
769,Frankie Idlett,G,COFC,South,12,8,0.63,0.25,0.25,0,0,0,0.63,0.81,1000,0
770,Jaren Marshall,G,AMCC,South,16,14,0.79,0.21,0.57,0.29,0.14,0,0.79,0.79,1000,0
771,Alejandro Ralat,G,FLA-ATL,East,9,14,0.5,0.07,0.36,0.07,0.07,0,0.5,0.75,1000,0
772,Philip Byriel,F,PRIN,South,15,9,0.67,0.56,0.56,0,0.22,0.11,0.67,0.67,1000,0
773,Jason Whitens,G,MSU,East,7,18,0.44,0.56,0.11,0.17,0.11,0,0.44,0.71,1000,0
774,Spencer Legg,F,COFC,South,12,10,0.5,0.1,0,0.1,0.1,0,0.5,0.65,1000,0
775,Jake Evans,G,NKU,Midwest,16,17,0.71,0.24,0.71,0.29,0.06,0,0.71,0.71,1000,0
776,James Carey,G,IONA,West,13,10,0.7,0.4,0.2,0,0.4,0,0.7,0.7,1000,0
777,Keither Florence,F,IONA,West,13,11,0.64,0.73,0.36,0.09,0.36,0.09,0.64,0.64,1000,0
778,Andrew Hurley,G,CONN,West,4,9,0.22,0.11,0,0.11,0.11,0,0.22,0.67,1000,0
779,Christian Fermin,F,VCU,West,12,13,0.46,0.77,0,0.15,0.23,0.08,0.46,0.6,1000,0
780,Jack Miller,G,COFC,South,12,12,0.5,0.08,0.17,0,0.17,0,0.5,0.65,1000,0
781,Freedom Rhames,G,HOW,West,16,17,0.65,0.53,0.29,0.12,0.41,0,0.65,0.65,1000,0
782,Michel Ndayishimiye,G,VERM,East,15,14,0.64,0.07,0,0.29,0.36,0,0.64,0.64,1000,0
783,Jared Barnett,G,SDSU,South,5,8,0.38,0.38,0.38,0.13,0.5,0,0.38,0.64,1000,0
784,Lawson Blake,F,ARK,West,8,8,0.38,0.5,0,0,0.13,0,0.38,0.56,1000,0
785,Iaroslav Niagu,F,USC,East,10,16,0.38,0.75,0.06,0.19,0.25,0.19,0.38,0.53,1000,0
786,Aidan Fisch,F,PITT,Midwest,11,10,0.4,0.3,0,0,0.2,0,0.4,0.52,1000,0
787,Jakai Robinson,G,MIA,Midwest,5,6,0.33,0,0.17,0,0.17,0.17,0.33,0.57,1000,0
788,Darius Ford,G,TCU,West,6,6,0.33,0.33,0,0,0,0,0.33,0.57,1000,0
789,Tyler Lundblade,G,TCU,West,6,9,0.33,0.33,0.22,0,0,0,0.33,0.57,1000,0
790,Cade Arbogast,G,ARK,West,8,8,0.38,0.13,0,0,0,0,0.38,0.56,1000,0
791,Logan Cremonesi,F,UCLA,West,2,8,0.13,0,0.13,0,0.25,0,0.13,0.5,1000,0
792,Jordan Snell,G,NCST,South,11,10,0.4,0.2,0,0,0.1,0.1,0.4,0.52,1000,0
793,Jordan Turner,G,BAY,South,3,6,0.17,0.83,0,0,0.17,0,0.17,0.5,1000,0
794,KJ Marshall,G,PITT,Midwest,11,11,0.36,0.18,0,0,0,0,0.36,0.47,1000,0
795,Leyi Adebayo,F,PRIN,South,15,6,0.33,0.33,0,0.33,0.17,0,0.33,0.33,1000,0
796,Isaiah Mason,G,NKU,Midwest,16,11,0.36,0.64,0,0.09,0.18,0,0.36,0.36,1000,0
797,Chase Graham,G,NCST,South,11,11,0.27,0.27,0,0.18,0.27,0.09,0.27,0.35,1000,0
798,Charles Stone,G,KENN,Midwest,14,6,0.33,0.33,0,0.17,0.17,0,0.33,0.33,1000,0
799,Matt Brown,G,KENN,Midwest,14,6,0.33,0.83,0,0,0.17,0,0.33,0.33,1000,0
800,Alphonzo Billups,G,VCU,West,12,8,0.25,0.5,0,0,0.63,0,0.25,0.33,1000,0
801,Dylan Ritter,G,COFC,South,12,12,0.25,0.17,0.25,0,0,0,0.25,0.33,1000,0
802,Anthony Leal,G,IND,Midwest,4,10,0.2,0.2,0.1,0.1,0.1,0,0.1,0.3,1000,0
803,Paxton Warden,G,ILL,West,9,10,0.2,0,0,0,0.2,0.1,0.2,0.3,1000,0
804,Davis Smith,G,MSU,East,7,11,0.18,0.18,0,0,0.09,0,0.18,0.29,1000,0
805,Mabor Majak,C,MIZZ,South,7,8,0.13,0.38,0,0,0.25,0.13,0.13,0.2,1000,0
806,Connor Serven,F,ILL,West,9,6,0.17,0.67,0,0.17,0.33,0,0.17,0.25,1000,0
